iter	Passed	Remaining
202	4287	16831
203	4303	16792
204	4324	16770
205	4342	16738
206	4359	16700
207	4383	16689
208	4403	16666
209	4425	16647
210	4441	16609
211	4460	16580
212	4481	16558
213	4507	16554
214	4527	16530
215	4547	16506
216	4573	16503
217	4594	16482
218	4617	16467
219	4637	16442
220	4660	16428
221	4678	16397
222	4698	16370
223	4716	16340
224	4736	16313
225	4756	16290
226	4774	16257
227	4797	16243
228	4818	16223
229	4838	16199
230	4863	16191
231	4887	16178
232	4904	16145
233	4926	16125
234	4944	16097
235	4962	16064
236	4982	16040
237	4999	16005
238	5022	15992
239	5038	15954
240	5058	15931
241	5082	15920
242	5101	15891
243	5126	15885
244	5148	15865
245	5171	15849
246	5190	15823
247	5209	15797
248	5227	15767
249	5250	15750
250	5272	15733
251	5290	15704
252	5312	15684
253	5331	15657
254	5348	15626
255	5366	15595
256	5387	15574
257	5409	15557
258	5426	15525
259	5443	15492
260	5461	15463
261	5478	15432
262	5495	15398
263	5514	15373
264	5537	15358
265	5555	15330
266	5572	15297
267	5588	15265
268	5607	15238
269	5623	15205
270	5646	15188
271	5667	15168
272	5683	15135
273	5702	15109
274	5719	15079
275	5740	15059
276	5762	15041
277	5783	15021
278	5805	15002
279	5821	14970
280	5842	14949
281	5860	14921
282	5878	14894
283	5897	14867
284	5913	14836
285	5933	14813
286	5951	14784
287	5968	14754
288	5984	14724
289	6002	14696
290	6021	14670
291	6037	14640
292	6057	14615
293	6077	14594
294	6098	14574
295	6119	14555
296	6137	14526
297	6155	14499
298	6175	14477
299	6195	14456
300	6213	14428
301	6235	14410
302	6251	14380
303	6267	14350
304	6292	14339
305	6310	14312
306	6327	14282
307	6353	14275
308	6373	14252
309	6390	14223
310	6406	14192
311	6424	14166
312	6444	14145
313	6462	14118
314	6485	14103
315	6504	14080
316	6522	14054
317	6544	14035
318	6563	14012
319	6581	13986
320	6601	13963
321	6620	13939
322	6636	13910
323	6658	13892
324	6682	13879
325	6700	13853
326	6717	13825
327	6735	13800
328	6754	13776
329	6771	13748
330	6791	13727
331	6812	13706
332	6831	13683
333	6849	13657
334	6870	13638
335	6887	13610
336	6907	13589
337	6927	13567
338	6946	13545
339	6964	13519
340	6985	13499
341	7001	13471
342	7019	13445
343	7036	13418
344	7053	13390
345	7070	13364
346	7088	13338
347	7107	13315
348	7125	13291
349	7144	13268
350	7160	13240
351	7177	13212
352	7194	13185
353	7217	13170
354	7234	13144
355	7254	13122
356	7271	13096
357	7288	13069
358	7307	13048
359	7333	13037
360	7350	13010
361	7366	12983
362	7384	12958
363	7401	12932
364	7420	12909
365	7439	12886
366	7461	12869
367	7482	12849
368	7497	12821
369	7515	12796
370	7532	12770
371	7547	12742
372	7564	12715
373	7580	12688
374	7599	12666
375	7618	12644
376	7635	12618
377	7655	12597
378	7675	12576
379	7694	12554
380	7713	12531
381	7732	12510
382	7749	12484
383	7767	12459
384	7789	12443
385	7806	12418
386	7825	12394
387	7844	12373
388	7861	12348
389	7881	12326
390	7899	12304
391	7919	12282
392	7936	12258
393	7954	12234
394	7971	12209
395	7989	12185
396	8006	12160
397	8023	12135
398	8042	12113
399	8059	12089
400	8076	12064
401	8096	12043
402	8114	12020
403	8130	11994
